config,query,kernel_total_ms,sync_total_ms,sync_per_kernel,h2d_bytes,kernel_gap_p50_us,kernel_gap_p95_us,top5_kernels
native,19,508.27,1988.24,3.912,8688264323,52.4,1765.9,sirius::cuda::scan::kernel_gather_dict(const sirius::cuda::s|95923187|830;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|79710845|1636;void cub::detail::batch_memcpy::BatchMemcpyKernel<cub::detai|77205409|212;void cub::detail::transform::transform_kernel<cub::detail::t|29177111|906;void cub::detail::for_each::static_kernel<cub::detail::for_e|24391196|192
native,2,73.37,211.29,2.88,1094013557,44.7,6148.4,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|23075955|18;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|13243065|139;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|11884376|18;sirius::cuda::scan::kernel_gather_dict(const sirius::cuda::s|8929190|26;sirius::cuda::scan::kernel_gather_fsst_chunked(const sirius:|2307065|11
native,20,165.14,751.31,4.55,7862428078,101.5,7805.5,void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|51928682|581;sirius::cuda::scan::kernel_gather_fsst_chunked(const sirius:|15741321|15;void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|14030253|40;void sirius::cuda::scan::kernel_decode_bitpacking_batched<in|12437322|171;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|9532876|40
native,21,986.97,5960.6,6.039,15074738429,193.4,8437.3,void cudf::detail::mixed_join<(bool)0>(cudf::table_device_vi|222676204|64;void cudf::detail::mixed_join_count<(bool)0>(cudf::table_dev|189302333|64;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|87162713|809;void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|83270017|56;void cuco::detail::open_addressing_ns::insert_if_n<(int)1, (|76604299|64
native,22,98.24,181.81,1.851,931875103,115.1,10419.7,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|31301360|6;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|19617538|6;sirius::cuda::scan::kernel_gather_fsst_chunked(const sirius:|8193141|11;sirius::cuda::scan::kernel_compute_lengths_fsst(const sirius|8079571|11;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|5540186|30
native,3,472.38,2122.81,4.494,6305980180,108.8,2906.3,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|120229674|167;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|93043866|263;void cuco::detail::open_addressing_ns::insert_if_n<(int)2, (|74752539|253;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|51683225|585;void cub::detail::transform::transform_kernel<cub::detail::t|23425397|316
native,4,196.03,784.52,4.002,4488321709,170.1,10363.7,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|51527852|25;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|31480289|25;void sirius::cuda::scan::kernel_decode_bitpacking_batched<in|26207772|243;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|16547187|145;sirius::cuda::scan::kernel_gather_dict(const sirius::cuda::s|10831241|47
native,5,316.72,1777.28,5.612,7434174489,276.3,5728.7,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|103501385|82;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|89670892|119;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|67116079|849;void cuco::detail::open_addressing_ns::insert_if_n<(int)2, (|26483061|102;void cub::detail::transform::transform_kernel<cub::detail::t|3301688|231
native,6,141.39,749.46,5.301,5102471271,259.1,6251.5,void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|44382064|507;void cub::detail::for_each::static_kernel<cub::detail::for_e|33023409|172;void cub::detail::for_each::static_kernel<cub::detail::for_e|12704834|86;void sirius::cuda::scan::kernel_decode_bitpacking_batched<in|12616318|169;void cub::detail::for_each::static_kernel<cub::detail::for_e|12451425|86
native,7,348.18,1648.19,4.734,8492156603,132.6,5733.5,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|90932170|162;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|69877094|941;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|63887681|196;void cub::detail::transform::transform_kernel<cub::detail::t|17160087|264;void sirius::cuda::scan::kernel_decode_bitpacking_batched<in|14185311|227
native,8,288.34,1319.16,4.575,9422261761,137.2,7833.9,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|100718939|86;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|91024443|1298;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|60564721|100;void cub::detail::transform::transform_kernel<cub::detail::t|5948596|397;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|5744277|49
native,9,690.15,2779.45,4.027,10963126533,88.8,6497.2,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|240367156|203;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|158348794|203;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|116018633|1929;void cuco::detail::open_addressing_ns::insert_if_n<(int)2, (|50227574|180;void cub::detail::transform::transform_kernel<cub::detail::t|32200329|1140
